trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2488,False,"{'a': 0.6, 'e': 0.6906172000000002}",25,0,-78.70007465669191,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
2489,False,"{'a': 0.6, 'e': 0.6903684000000001}",30,0,-64.4329260267833,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
2490,False,"{'a': 0.6, 'e': 0.6901195000000001}",30,0,-135.90969473491973,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
2491,False,"{'a': 0.6, 'e': 0.6898705}",20,15,5.96409901841025,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2492,False,"{'a': 0.6, 'e': 0.6896214}",25,0,-80.59924590310322,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
2493,False,"{'a': 0.6, 'e': 0.6893722000000001}",20,0,-13.519437709041565,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2494,False,"{'a': 0.6, 'e': 0.6891229000000001}",25,0,-33.45294739235061,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
2495,False,"{'a': 0.6, 'e': 0.6888735000000001}",20,5,-3.4364122484153388,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
2496,False,"{'a': 0.6, 'e': 0.6886240000000001}",30,0,-114.48038874901634,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 2}",0
2497,False,"{'a': 0.6, 'e': 0.6883744000000002}",20,14,-20.7159258464507,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
2498,False,"{'a': 0.6, 'e': 0.6881247000000001}",25,0,-50.751089148426956,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
2499,False,"{'a': 0.6, 'e': 0.6878749000000002}",30,0,-73.42161748181516,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
2500,False,"{'a': 0.6, 'e': 0.6876250000000002}",25,6,-66.35942807223746,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
2501,False,"{'a': 0.6, 'e': 0.6873750000000002}",20,16,7.281991853551746,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2502,False,"{'a': 0.6, 'e': 0.6871249000000001}",20,1,-64.7886304440875,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 0}",1
2503,False,"{'a': 0.6, 'e': 0.6868747000000002}",30,0,-102.73727961117632,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
2504,False,"{'a': 0.6, 'e': 0.6866244000000001}",30,0,-102.73674725873795,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
2505,False,"{'a': 0.6, 'e': 0.6863740000000002}",20,0,-59.845058000026775,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
